# Kroupa IMF
# ntot (mmin,mmax,mcut)/Msol (pmin,pmax)/days (lxmin,lxmax)/ergs/s
100000 0.01 100.0 8.0 0.1 1000.0 33.0 39.0
# n (m1,m2)/M* P/days a/AU (t1,t2)/Myrs (mr1,mr2)/M*
207      25.8931       0.0000       0.0000       0.0000       7.5673 12050027744818292919277434657381038584722620416.0000      21.3452       0.0000
208      25.8568      17.0035      24.5315       0.5728       7.5765      12.0378      21.3168      14.3217
209      25.7354       0.0000       0.0000       0.0000       7.6073 12050027744818292919277434657381038584722620416.0000      21.2218       0.0000
210      25.7020       0.0000       0.0000       0.0000       7.6159 12050027744818292919277434657381038584722620416.0000      21.1956       0.0000
211      25.6670      12.9091      15.7514       0.4116       7.6248      17.4357      21.1683      11.0273
212      25.6113      15.6978       2.1446       0.1114       7.6391      13.2539      21.1247      13.2760
213      25.5006      13.4120       2.5266       0.1219       7.6677      16.4883      21.0381      11.4345
214      25.4916       0.0000       0.0000       0.0000       7.6701 12050027744818292919277434657381038584722620416.0000      21.0310       0.0000
215      25.4302       0.0000       0.0000       0.0000       7.6860 12050027744818292919277434657381038584722620416.0000      20.9829       0.0000
216      25.3629       6.2883    4633.7587      17.0435       7.7036      64.7012      20.9302       5.5729
217      25.2799       0.0000       0.0000       0.0000       7.7254 12050027744818292919277434657381038584722620416.0000      20.8653       0.0000
218      25.2721      14.6272     276.8822       2.8140       7.7275      14.5247      20.8592      12.4154
219      25.2464       0.0000       0.0000       0.0000       7.7343 12050027744818292919277434657381038584722620416.0000      20.8390       0.0000
220      24.9777      22.5254    2533.2443      13.0466       7.8074       8.7188      20.6285      18.7018
221      24.9650       0.0000       0.0000       0.0000       7.8117 12050027744818292919277434657381038584722620416.0000      20.6186       0.0000
222      24.8338       0.0000       0.0000       0.0000       7.8558 12050027744818292919277434657381038584722620416.0000      20.5157       0.0000
223      24.8250      10.6625       6.8054       0.2288       7.8588      23.4548      20.5088       9.1977
224      24.7686       0.0000       0.0000       0.0000       7.8779 12050027744818292919277434657381038584722620416.0000      20.4646       0.0000
225      24.7365       5.3645     784.9186       5.1312       7.8888      92.0598      20.4394       4.7930
226      24.4922       0.0000       0.0000       0.0000       7.9729 12050027744818292919277434657381038584722620416.0000      20.2479       0.0000
227      24.4372       0.0000       0.0000       0.0000       7.9921 12050027744818292919277434657381038584722620416.0000      20.2047       0.0000
228      24.2733       0.0000       0.0000       0.0000       8.0498 12050027744818292919277434657381038584722620416.0000      20.0761       0.0000
229      24.2337      19.5663      24.2359       0.5723       8.0638      10.1649      20.0451      16.3624
230      24.1571      18.6392       2.0761       0.1103       8.0911      10.7770      19.9849      15.6258
231      23.8494       0.0000       0.0000       0.0000       8.2027 12050027744818292919277434657381038584722620416.0000      19.7433       0.0000
232      23.7916       2.6176       3.7719       0.1399       8.2240     576.5315      19.6979       2.4262
233      23.7068       3.7645    1624.4418       8.0829       8.2554     212.0592      19.6312       3.4249
234      23.5646       0.0000       0.0000       0.0000       8.3087 12050027744818292919277434657381038584722620416.0000      19.5195       0.0000
235      23.4922      15.9304     829.6559       5.8253       8.3360      13.0211      19.4626      13.4627
236      23.4897       0.0000       0.0000       0.0000       8.3370 12050027744818292919277434657381038584722620416.0000      19.4607       0.0000
237      23.4117      15.6407      23.6738       0.5423       8.3667      13.3121      19.3993      13.2302
238      23.2201       2.8455    4279.6158      15.1506       8.4404     454.6671      19.2486       2.6261
239      23.1950       0.0000       0.0000       0.0000       8.4502 12050027744818292919277434657381038584722620416.0000      19.2289       0.0000
240      23.0450      20.3040      71.0489       1.1682       8.5090       9.7417      19.1109      16.9472
241      23.0212       2.1592       5.2174       0.1709       8.5184     966.6742      19.0921       0.0000
242      22.9099       2.2717       2.8427       0.1140       8.5626     845.6978      19.0045       0.0000
243      22.8810       0.0000       0.0000       0.0000       8.5742 12050027744818292919277434657381038584722620416.0000      18.9818       0.0000
244      22.7291       7.9900    5135.0301      18.0705       8.6354      39.7243      18.8622       6.9948
245      22.7090      13.9387       1.4645       0.0830       8.6436      15.5855      18.8464      11.8602
246      22.6830       0.0000       0.0000       0.0000       8.6542 12050027744818292919277434657381038584722620416.0000      18.8259       0.0000
247      22.6377       0.0000       0.0000       0.0000       8.6727 12050027744818292919277434657381038584722620416.0000      18.7902       0.0000
248      22.6340       0.0000       0.0000       0.0000       8.6742 12050027744818292919277434657381038584722620416.0000      18.7873       0.0000
249      22.4201      21.9952    7950.1818      27.3465       8.7626       8.9436      18.6188      18.2838
250      22.4182      21.6117       7.5366       0.2631       8.7634       9.1133      18.6173      17.9812
251      22.3700       0.0000       0.0000       0.0000       8.7836 12050027744818292919277434657381038584722620416.0000      18.5793       0.0000
252      22.3481       8.7607    2167.5597      10.2113       8.7928      33.3822      18.5621       7.6335
253      22.1553      15.9578       4.5050       0.1779       8.8745      12.9941      18.4101      13.4846
254      22.1062      17.2208      11.9530       0.3446       8.8956      11.8550      18.3713      14.4953
255      21.9858       0.0000       0.0000       0.0000       8.9477 12050027744818292919277434657381038584722620416.0000      18.2764       0.0000
256      21.9828       0.0000       0.0000       0.0000       8.9490 12050027744818292919277434657381038584722620416.0000      18.2740       0.0000
257      21.9297       6.5138      31.5655       0.5910       8.9721      59.8355      18.2322       5.7623
258      21.9095       0.0000       0.0000       0.0000       8.9810 12050027744818292919277434657381038584722620416.0000      18.2162       0.0000
259      21.8506      18.5740     325.2686       3.1467       9.0068      10.8226      18.1698      15.5739
260      21.7579      14.1609    3585.6853      14.9840       9.0478      15.2291      18.0966      12.0396
261      21.7506       0.0000       0.0000       0.0000       9.0511 12050027744818292919277434657381038584722620416.0000      18.0908       0.0000
262      21.7181      12.2956    2807.1962      12.4989       9.0655      18.7220      18.0652      10.5294
263      21.7138      10.6160       1.5075       0.0812       9.0675      23.6198      18.0618       9.1597
264      21.7107       0.0000       0.0000       0.0000       9.0689 12050027744818292919277434657381038584722620416.0000      18.0594       0.0000
265      21.6534       0.0000       0.0000       0.0000       9.0945 12050027744818292919277434657381038584722620416.0000      18.0141       0.0000
266      21.5564       4.2726     200.2265       1.9612       9.1382     154.6504      17.9376       3.8621
